Flow Start,Previous Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Min Packet Length,Max Packet Length,Flow IAT Sum,Fwd IAT Sum,Bwd IAT Sum,Fwd IAT Count,Bwd IAT Count,SYN Flag Count,ACK Flag Count,PSH Flag Count,FIN Flag Count,RST Flag Count,Flow Bytes/s,Flow Packets/s,Down/Up Ratio,Fwd Packets/s,Bwd Packets/s,Flow IAT Mean,Fwd IAT Mean,Bwd IAT Mean
1753538555.170344,1753538555.170344,0.0001,1,0,82,0,82,82,0,0.0,0.0,1,0,0,0,0,0,0,820000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1753538555.170344,1753538555.1716516,0.0013074874877929688,2,0,164,0,82,82,0,0.0013074874877929688,0.0,2,0,0,0,0,0,0,125431.41064916119,1529.6513493800146,0.0,1529.6513493800146,0.0,0.0,0.0006537437438964844,0.0
1753538555.1727183,1753538555.1727183,0.0001,1,0,87,0,87,87,0,0.0,0.0,1,0,0,0,0,0,0,870000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1753538555.173802,1753538555.173802,0.0001,1,0,179,0,179,179,0,0.0,0.0,1,0,0,0,0,0,0,1790000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1753538555.3670359,1753538555.3670359,0.0001,1,0,82,0,82,82,0,0.0,0.0,1,0,0,0,0,0,0,820000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1753538555.3670359,1753538555.3684766,0.0014407634735107422,2,0,164,0,82,82,0,0.0014407634735107422,0.0,2,0,0,0,0,0,0,113828.5381433063,1388.1529041866622,0.0,1388.1529041866622,0.0,0.0,0.0007203817367553711,0.0
1753538555.3670359,1753538555.3697715,0.002735614776611328,3,0,246,0,82,82,0,0.002735614776611328,0.0,3,0,0,0,0,0,0,89924.94195572598,1096.6456336064145,0.0,1096.6456336064145,0.0,0.0,0.000911871592203776,0.0
1753538555.3670359,1753538555.3711967,0.004160881042480469,4,0,328,0,82,82,0,0.004160881042480469,0.0,4,0,0,0,0,0,0,78829.45862938346,961.3348613339446,0.0,961.3348613339446,0.0,0.0,0.0010402202606201172,0.0
1753538555.3723354,1753538555.3723354,0.0001,1,0,167,0,167,167,0,0.0,0.0,1,0,0,0,0,0,0,1670000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1753538555.411974,1753538555.411974,0.0001,1,0,66,0,66,66,0,0.0,0.0,1,0,1,0,0,0,0,660000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1753538555.411974,1753538555.4197924,0.007818460464477539,1,1,66,66,66,66,0,0.0,0.007818460464477539,1,1,2,1,0,0,0,16883.119202268776,255.80483639801176,1.0,127.90241819900588,127.90241819900588,0.0,0.0,0.007818460464477539
1753538555.411974,1753538555.4208028,0.008828878402709961,2,1,120,66,54,66,0,0.0010104179382324219,0.007818460464477539,2,1,2,2,0,0,0,21067.22864626934,339.79401042369904,0.5,226.52934028246605,113.26467014123303,0.0,0.0005052089691162109,0.007818460464477539
1753538555.411974,1753538555.425141,0.013167142868041992,3,1,941,66,54,821,0,0.005348682403564453,0.007818460464477539,3,1,2,3,1,0,0,76478.24665471599,303.7864812501132,0.3333333333333333,227.8398609375849,75.9466203125283,0.0,0.0017828941345214844,0.007818460464477539
1753538555.411974,1753538555.4268117,0.01483774185180664,3,2,941,122,54,821,0,0.005348682403564453,0.009489059448242188,3,2,2,4,1,0,0,71641.62920590032,336.97850049812,0.6666666666666666,202.187100298872,134.791400199248,0.0,0.0017828941345214844,0.004744529724121094
1753538555.411974,1753538555.4743195,0.06234550476074219,3,3,941,440,54,821,0,0.005348682403564453,0.056996822357177734,3,3,2,5,2,0,0,22150.754979043657,96.23789274023312,1.0,48.11894637011656,48.11894637011656,0.0,0.0017828941345214844,0.01899894078572591
1753538555.411974,1753538555.4751005,0.0631265640258789,4,3,995,440,54,821,0,0.006129741668701172,0.056996822357177734,4,3,2,6,2,0,0,22732.110041847325,110.88834166754793,0.75,63.364766667170244,47.52357500037768,0.0,0.001532435417175293,0.01899894078572591
1753538555.411974,1753538555.4835103,0.07153630256652832,5,3,1129,440,54,821,0,0.014539480209350586,0.056996822357177734,5,3,2,7,3,0,0,21932.9199820027,111.83133196687163,0.6,69.89458247929477,41.93674948757686,0.0,0.0029078960418701173,0.01899894078572591
1753538555.411974,1753538555.4842105,0.07223653793334961,6,3,1263,440,54,821,0,0.015239715576171875,0.056996822357177734,6,3,2,8,4,0,0,23575.3269567169,124.59068855575579,0.5,83.06045903717053,41.530229518585266,0.0,0.002539952596028646,0.01899894078572591
1753538555.411974,1753538555.4851127,0.07313871383666992,6,4,1263,496,54,821,0,0.015239715576171875,0.05789899826049805,6,4,2,9,4,0,0,24050.190490471563,136.7264951135393,0.6666666666666666,82.03589706812359,54.690598045415726,0.0,0.002539952596028646,0.014474749565124512
1753538555.411974,1753538555.485775,0.07380104064941406,6,5,1263,552,54,821,0,0.015239715576171875,0.05856132507324219,6,5,2,10,4,0,0,24593.149148424778,149.049388778332,0.8333333333333334,81.2996666063629,67.7497221719691,0.0,0.002539952596028646,0.011712265014648438
1753538555.411974,1753538555.4890647,0.07709074020385742,7,5,4804,552,54,3541,0,0.018529415130615234,0.05856132507324219,7,5,2,11,5,0,0,69476.56730025793,155.66071837249723,0.7142857142857143,90.80208571729005,64.85863265520717,0.0,0.002647059304373605,0.011712265014648438
1753538555.411974,1753538555.491082,0.07910799980163574,7,6,4804,608,54,3541,0,0.018529415130615234,0.06057858467102051,7,6,2,12,5,0,0,68412.8029222159,164.33230561507884,0.8571428571428571,88.48662610042706,75.84567951465176,0.0,0.002647059304373605,0.010096430778503418
1753538555.411974,1753538555.4915707,0.07959675788879395,7,7,4804,664,54,3541,0,0.018529415130615234,0.06106734275817871,7,7,2,13,5,0,0,68696.26533833753,175.8865608516323,1.0,87.94328042581616,87.94328042581616,0.0,0.002647059304373605,0.008723906108311244
1753538555.411974,1753538555.4923127,0.08033871650695801,7,8,4804,720,54,3541,0,0.018529415130615234,0.06180930137634277,7,8,2,14,5,0,0,68758.87791313638,186.7094802130785,1.1428571428571428,87.1310907661033,99.57838944697521,0.0,0.002647059304373605,0.007726162672042847
1753538555.411974,1753538555.5114489,0.09947490692138672,7,9,4804,1061,54,3541,0,0.018529415130615234,0.08094549179077148,7,9,2,15,6,0,0,58959.592740659784,160.844583776736,1.2857142857142858,70.36950540232199,90.47507837441398,0.0,0.002647059304373605,0.008993943532307943
1753538555.411974,1753538555.5120487,0.10007476806640625,7,10,4804,1207,54,3541,0,0.018529415130615234,0.08154535293579102,7,10,2,16,7,0,0,60065.09049325303,169.87298925059085,1.4285714285714286,69.94770145612564,99.92528779446519,0.0,0.002647059304373605,0.008154535293579101
1753538555.411974,1753538555.5129268,0.1009528636932373,8,10,4858,1207,54,3541,0,0.01940751075744629,0.08154535293579102,8,10,2,17,7,0,0,60077.54290586099,178.30103418062617,1.25,79.2449040802783,99.05613010034787,0.0,0.002425938844680786,0.008154535293579101
1753538555.411974,1753538555.5140445,0.10207056999206543,9,10,4943,1207,54,3541,0,0.020525217056274414,0.08154535293579102,9,10,2,18,8,0,0,60252.43123926982,186.14572252782546,1.1111111111111112,88.17428961844364,97.97143290938182,0.0,0.0022805796729193795,0.008154535293579101
1753538555.411974,1753538555.552158,0.1401841640472412,9,11,4943,1263,54,3541,0,0.020525217056274414,0.1196589469909668,9,11,2,19,8,0,0,44270.33568434032,142.66946723925338,1.2222222222222223,64.20126025766402,78.46820698158935,0.0,0.0022805796729193795,0.01087808609008789
1753538555.3670359,1753538555.576364,0.20932817459106445,5,0,410,0,82,82,0,0.20932817459106445,0.0,5,0,0,0,0,0,0,1958.6469943712086,23.885938955746447,0.0,23.885938955746447,0.0,0.0,0.04186563491821289,0.0
1753538555.3670359,1753538555.5785184,0.21148252487182617,6,0,492,0,82,82,0,0.21148252487182617,0.0,6,0,0,0,0,0,0,2326.4333556552147,28.37113848360018,0.0,28.37113848360018,0.0,0.0,0.035247087478637695,0.0
1753538555.579968,1753538555.579968,0.0001,1,0,217,0,217,217,0,0.0,0.0,1,0,0,0,0,0,0,2170000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
